[00:00:00][INFO]First ore: 534, Second ore: 3
[21:58:18][INFO]First ore: 435, Second ore: sad
[21:58:46][INFO]Winner: 435, Eliminated: sad
[21:58:46][INFO]First ore: 534, Second ore: 2
[21:58:56][INFO]Winner: 2, Eliminated: 534
[21:58:56][INFO]First ore: 435, Second ore: 38
[21:59:00][INFO]Winner: 38, Eliminated: 435
[21:59:00][INFO]First ore: 432, Second ore: 34
[21:59:14][INFO]Winner: 34, Eliminated: 432
[21:59:14][INFO]First ore: add43, Second ore: 38
[21:59:19][INFO]Winner: add43, Eliminated: 38
[21:59:19][INFO]First ore: Replace this with a list of all items you want to add, Second ore: add43
[21:59:21][INFO]Winner: add43, Eliminated: Replace this with a list of all items you want to add
[21:59:21][INFO]First ore: 3, Second ore: 34
[21:59:23][INFO]Winner: 3, Eliminated: 34
[21:59:23][INFO]First ore: 543\, Second ore: 3
[21:59:24][INFO]Winner: 543\, Eliminated: 3
[21:59:24][INFO]First ore: add43, Second ore: 2
[21:59:26][INFO]Winner: add43, Eliminated: 2
[21:59:26][INFO]First ore: 5, Second ore: 4
[21:59:29][INFO]Winner: 5, Eliminated: 4
[21:59:29][INFO]First ore: add43, Second ore: 56
[21:59:31][INFO]Winner: 56, Eliminated: add43
[21:59:31][INFO]First ore: 543\, Second ore: 56
[21:59:32][INFO]Winner: 543\, Eliminated: 56
[21:59:32][INFO]First ore: 543\, Second ore: 5
[21:59:33][INFO]Winner: 543\, Eliminated: 5
[22:09:33][INFO] First ore: 38, Second ore: 432
[22:09:48][INFO] First ore: 4, Second ore: 3
[22:10:02][INFO] First ore: Replace this with a list of all items you want to add, Second ore: sad
[22:10:38][INFO] First ore: sad, Second ore: 432
[22:10:49][INFO] Winner: sad, Eliminated: 432
[22:10:49][INFO] First ore: 34, Second ore: Replace this with a list of all items you want to add
[22:11:03][INFO] First ore: this makes it work, Second ore: Replace this with a list of all items you want to add
[22:11:10][INFO] Winner: this makes it work, Eliminated: Replace this with a list of all items you want to add
[22:11:10][LEADERBOARD] 2: Replace this with a list of all items you want to add
